0:00:00,0:00:08.860000,Yes.
0:00:08.860000,0:00:33.620000,So now I tweaked this.
0:00:33.620000,0:00:35.620000,"Oh, yo!"
0:00:35.620000,0:00:40.620000,"Alright, alright boys, we're good!"
0:00:40.620000,0:00:43.620000,I think this is gonna work!
0:00:43.620000,0:00:54.620000,"You know, I figured it was most appropriate to livestream here on Twitter instead of on Twitch."
0:00:54.620000,0:00:57.620000,We're gonna figure out how Twitter works on Twitter.
0:00:57.620000,0:01:00.620000,Should we close the closet door?
0:01:00.620000,0:01:04.620000,So those of you all don't follow me on Twitch.
0:01:04.620000,0:01:06.620000,I'm a streamer.
0:01:06.620000,0:01:10.620000,"Twitter's not Instagram, so that's not copyrighted."
0:01:10.620000,0:01:15.620000,"If you wanna post it, it's entire you can. No clips, obviously. You know my rules."
0:01:15.620000,0:01:18.620000,But let's go!
0:01:18.620000,0:01:24.620000,"Okay, so the way that I got this by the way, my friend who is watching my Twitter text me is like,"
0:01:24.620000,0:01:31.620000,"yo, I can get you media studio."
0:01:31.620000,0:01:48.620000,"Yeah, so we got media studio not through any legitimate channels."
0:01:48.620000,0:01:58.620000,"So Elon, you know, this is free money. I would have happily clicked BIM."
0:01:58.620000,0:02:04.620000,"Alright, so we can, I may not be S here, so I can go like this."
0:02:04.620000,0:02:10.620000,"And yeah, I think we should be good. That should be why it's green."
0:02:10.620000,0:02:11.620000,"Alright, cool."
0:02:11.620000,0:02:22.620000,"We're gonna move OES over here, and then we have a nice chrome with, you know, clear history here."
0:02:22.620000,0:02:24.620000,Hi.
0:02:24.620000,0:02:26.620000,And bring that up.
0:02:26.620000,0:02:29.620000,"Alright, so these are my Twitter notes so far."
0:02:29.620000,0:02:35.620000,You can all probably find this funny if you work at Twitter.
0:02:35.620000,0:02:41.620000,So we're gonna do this without being logged in. I just got a Twitter.com.
0:02:41.620000,0:02:47.620000,"You see what comes up here, and then a great place to start with any web stuff is to start looking at the app."
0:02:47.620000,0:02:52.620000,Is the resolution good enough for you guys to see this stuff?
0:02:52.620000,0:02:56.620000,I know people complain.
0:02:56.620000,0:03:01.620000,"Oh, well, it looks like it's being cut off enough. I think I don't want to."
0:03:01.620000,0:03:07.620000,"Okay, that's kind of visible. It's also a lot of lag."
0:03:07.620000,0:03:09.620000,There's also a lot of lag.
0:03:09.620000,0:03:16.620000,"We don't have any live chat here, so you guys can post on this tweet, and I'll read it over here."
0:03:16.620000,0:03:19.620000,If you want me to see something like that.
0:03:19.620000,0:03:22.620000,"Okay, so I was already looking into it a bit."
0:03:22.620000,0:03:28.620000,"It looks like, so a few notes about the Twitter doesn't load at all, if we turn JavaScript off."
0:03:28.620000,0:03:32.620000,So I'm just going to pin those scripts here.
0:03:32.620000,0:03:35.620000,"If I turn those scripts on, you'll see that it just complains."
0:03:35.620000,0:03:37.620000,It says JavaScript is unavailable.
0:03:37.620000,0:03:40.620000,So that's the first thing you do.
0:03:40.620000,0:03:43.620000,"Because if you can do things without JavaScript, it's easier."
0:03:43.620000,0:03:48.620000,But the first thing Twitter does is loads a whole bunch of JavaScript.
0:03:48.620000,0:03:51.620000,So we can look and view the page source here.
0:03:51.620000,0:03:54.620000,Where's my JavaScript?
0:03:54.620000,0:03:59.620000,"Oh, there's no script tag."
0:03:59.620000,0:04:03.620000,That's some OG.
0:04:11.620000,0:04:14.620000,"Yeah, so it loads these things."
0:04:14.620000,0:04:17.620000,I feel like that number actually changed.
0:04:17.620000,0:04:20.620000,Is that like a cashbuster?
0:04:20.620000,0:04:25.620000,"I should copy and paste it, which ones it actually loads."
0:04:25.620000,0:04:29.620000,"But yeah, so I can go here and I can already have cash disabled."
0:04:29.620000,0:04:34.620000,So we can go here and see the JavaScript that it loads.
0:04:37.620000,0:04:39.620000,Where's all the JavaScript?
0:04:39.620000,0:04:43.620000,The reason it's not being loaded.
0:04:43.620000,0:04:45.620000,What if being loaded last one I looked at?
0:04:45.620000,0:04:50.620000,So I don't know what happened.
0:04:50.620000,0:04:55.620000,"Regardless, it loads JavaScript from..."
0:04:55.620000,0:04:58.620000,"Oh, sorry, I can't find out what's up."
0:04:58.620000,0:04:59.620000,A little here.
0:04:59.620000,0:05:02.620000,This is what Webpack is.
0:05:02.620000,0:05:05.620000,I'm not that familiar with front-end stuff.
0:05:05.620000,0:05:08.620000,"So if you're expecting for me to be an absolute front-end wizard,"
0:05:08.620000,0:05:10.620000,I'm not.
0:05:10.620000,0:05:14.620000,You can all watch me being new.
0:05:14.620000,0:05:16.620000,But we know some basics.
0:05:16.620000,0:05:21.620000,We know the old school internet.
0:05:21.620000,0:05:24.620000,"Yeah, so I noted a few things."
0:05:24.620000,0:05:27.620000,They have a CDN at twiminch.com.
0:05:27.620000,0:05:29.620000,"If you go to twiminch, nothing loads."
0:05:29.620000,0:05:30.620000,But if you're...
0:05:30.620000,0:05:32.620000,"Oh, sorry."
0:05:32.620000,0:05:37.620000,"If you do what who is, we can figure out when they register that."
0:05:37.620000,0:05:40.620000,It's old.
0:05:40.620000,0:05:42.620000,Registered.
0:05:42.620000,0:05:45.620000,"So what we're doxing Twitter, I hope this is okay."
0:05:45.620000,0:05:47.620000,We're doxing Twitter on Twitter.
0:05:47.620000,0:05:50.620000,It's like meta.
0:05:50.620000,0:05:55.620000,"How laggy is this livestream, by the way?"
0:05:55.620000,0:05:58.620000,Let's refresh and see what people have to say in the chat.
0:05:58.620000,0:05:59.620000,Let's go.
0:05:59.620000,0:06:00.620000,Not that visible.
0:06:00.620000,0:06:01.620000,Is this recorded?
0:06:01.620000,0:06:02.620000,Low res.
0:06:02.620000,0:06:05.620000,Let me see if I can do something about that.
0:06:05.620000,0:06:11.620000,Um...
0:06:11.620000,0:06:14.620000,You can custom here.
0:06:14.620000,0:06:17.620000,I'll put a video bitrate.
0:06:17.620000,0:06:23.620000,Where's resolution?
0:06:23.620000,0:06:26.620000,Can I stream in high resolution?
0:06:26.620000,0:06:30.620000,We have a lot of bitrate here.
0:06:30.620000,0:06:32.620000,"Uh, we use the custom."
0:06:32.620000,0:06:35.620000,I use the custom and I copy and paste it.
0:06:35.620000,0:06:36.620000,The R.
0:06:36.620000,0:06:39.620000,I don't know if you guys any stream keys or anything.
0:06:39.620000,0:06:42.620000,"No, we're streaming in... I guess we're streaming in 1080."
0:06:42.620000,0:06:45.620000,My screen's a lot more than 1080.
0:06:45.620000,0:06:48.620000,But you should still be able to see.
0:06:48.620000,0:06:50.620000,Hard to read any text.
0:06:50.620000,0:06:52.620000,"All right, we'll have to just zoom in."
0:06:52.620000,0:06:53.620000,We'll zoom in.
0:06:53.620000,0:06:54.620000,We'll try to zoom in.
0:06:54.620000,0:06:56.620000,You know it's harder for me to work zoom in.
0:06:56.620000,0:07:00.620000,But you know what we're here to have fun anyway.
0:07:00.620000,0:07:03.620000,Okay.
0:07:03.620000,0:07:07.620000,"So yeah, this is what I found kind of from the front end."
0:07:07.620000,0:07:12.620000,"I don't know if this is the same API that Twitter does,"
0:07:12.620000,0:07:14.620000,but there's a really cool thing you can do.
0:07:14.620000,0:07:17.620000,So let's go to a tweet here.
0:07:17.620000,0:07:18.620000,"Oh, let's click these."
0:07:18.620000,0:07:20.620000,Does this truck make my dick look small?
0:07:20.620000,0:07:21.620000,Great.
0:07:21.620000,0:07:23.620000,Got a lot of it.
0:07:23.620000,0:07:26.620000,"So here, this is tweet detail."
0:07:26.620000,0:07:27.620000,She's requesting a route.
0:07:27.620000,0:07:29.620000,There's actually something really awesome in Chrome.
0:07:29.620000,0:07:33.620000,You can right click and go to copy and copy all as curl.
0:07:33.620000,0:07:34.620000,And...
0:07:34.620000,0:07:35.620000,Wow.
0:07:35.620000,0:07:37.620000,"Oh, copy all."
0:07:37.620000,0:07:39.620000,That's not what I'm going to do.
0:07:39.620000,0:07:40.620000,Okay.
0:07:40.620000,0:07:41.620000,Okay.
0:07:41.620000,0:07:42.620000,Great.
0:07:42.620000,0:07:43.620000,Great.
0:07:43.620000,0:07:44.620000,Great.
0:07:44.620000,0:07:45.620000,Great.
0:07:45.620000,0:07:46.620000,Great.
0:07:46.620000,0:07:47.620000,Great.
0:07:47.620000,0:07:48.620000,Great.
0:07:48.620000,0:07:49.620000,Great.
0:07:49.620000,0:07:50.620000,Great.
